Dataset,Radius,Turbines,Algorithm,Seed,Linear,Ideal,Cubic,IdealCubic,CubicCutout,IdealCubicCutout,GaussLoss004,GaussLoss0022,JensenLoss,MinSpacing,Feas5D,Feas6D
1,750,8,LXSSA,14,111568.55683713252,112365.89895787863,91910.71824084695,92850.69241538728,87650.47206685125,88406.46983346765,1010.7541520142549,1448.5359025322832,797.342120746107,374.6099131865993,False,False
1,750,8,LXSSA,15,110468.45832634186,112365.89895787863,90616.21018877615,92850.69241538728,86599.93013940185,88406.46983346765,2547.186040708708,4402.323227433837,1897.440631536767,357.83386579182996,False,False
1,750,8,LXSSA,16,111794.87233980598,112365.89895787863,92181.27973021619,92850.69241538728,87858.56915369978,88406.46983346765,1256.6413990426518,1420.84361306559,571.0266180726467,319.02844265755385,False,False
1,750,8,LXSSA,17,110658.34448421007,112365.89895787863,90836.00654871186,92850.69241538728,86790.02793676028,88406.46983346765,2469.5654990862386,4767.541790826886,1707.5544736685551,383.5941623157203,False,False
1,750,8,LXSSA,18,111618.95882393247,112365.89895787863,91973.3373636875,92850.69241538728,87693.37719980799,88406.46983346765,1103.1780882978492,1499.6220446949883,746.940133946162,337.2571748027098,False,False
1,750,8,LXSSA,19,111877.4427737423,112365.89895787863,92276.5302856633,92850.69241538728,87939.17030431738,88406.46983346765,850.7378084452794,1210.614752272304,488.456184136332,367.24117093596055,False,False
1,750,8,LXSSA,20,111844.45555938636,112365.89895787863,92237.31991057214,92850.69241538728,87908.6316812341,88406.46983346765,765.4494386967272,1050.7184883936861,521.4433984922653,411.584564521996,True,False
1,750,8,LXSSA,21,111667.69190715654,112365.89895787863,92027.39849348449,92850.69241538728,87749.09365496605,88406.46983346765,1038.0053124585102,1594.3612511053943,698.2070507220924,317.80386857078366,False,False
1,750,8,LXSSA,22,111258.7634170736,112365.89895787863,91542.16323163116,92850.69241538728,87370.0795124718,88406.46983346765,1366.8927516933036,2301.543344555379,1107.1355408050294,350.049876913295,False,False
1,750,8,LXSSA,23,111871.54432666424,112365.89895787863,92268.01203876211,92850.69241538728,87938.66797629624,88406.46983346765,782.6487185626465,1039.9615185361617,494.35463121438806,356.44485860067266,False,False
1,750,8,LXSSA,24,111581.2638085792,112365.89895787863,91926.54717097826,92850.69241538728,87662.04884606291,88406.46983346765,1342.028151427061,1895.9902598183398,784.635149299429,348.80751627316823,False,False
