Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
LXSSA,linear,1,500,4,27,118.91881322494737,56064.03066571437,True
LXSSA,linear,1,500,4,28,74.14645152124285,56108.80302741807,True
LXSSA,linear,1,500,4,29,93.70249088459968,56089.246988054714,True
LXSSA,linear,1,500,4,30,92.07506227021804,56090.874416669096,True
LXSSA,linear,1,750,8,1,650.0941706820886,111715.80478719654,True
LXSSA,linear,1,750,8,2,1010.4701600955887,111355.42879778304,True
LXSSA,linear,1,750,8,3,1152.982828101507,111212.91612977712,True
LXSSA,linear,1,750,8,4,602.1454770144337,111763.7534808642,True
LXSSA,linear,1,750,8,5,825.7638562907086,111540.13510158792,True
LXSSA,linear,1,750,8,6,1504.918232843862,110860.98072503477,True
LXSSA,linear,1,750,8,7,661.2955193467496,111704.60343853188,True
LXSSA,linear,1,750,8,8,574.3793535476289,111791.519604331,True
LXSSA,linear,1,750,8,9,951.7811479746015,111414.11780990403,True
LXSSA,linear,1,750,8,10,458.866468295877,111907.03248958275,True
LXSSA,linear,1,750,8,11,1017.9766468542948,111347.92231102433,True
LXSSA,linear,1,750,8,12,818.2986226912326,111547.6003351874,True
LXSSA,linear,1,750,8,13,1092.7113517239632,111273.18760615466,True
LXSSA,linear,1,750,8,14,1098.4281420062762,111267.47081587235,True
LXSSA,linear,1,750,8,15,540.8103706447437,111825.08858723388,True
LXSSA,linear,1,750,8,16,490.5873277602659,111875.31163011836,True
LXSSA,linear,1,750,8,17,883.0223668441613,111482.87659103447,True
LXSSA,linear,1,750,8,18,864.3166006635729,111501.58235721505,True
LXSSA,linear,1,750,8,19,1196.907691419532,111168.9912664591,True
LXSSA,linear,1,750,8,20,1565.076203176388,110800.82275470224,True
LXSSA,linear,1,750,8,21,964.675306425328,111401.2236514533,True
LXSSA,linear,1,750,8,22,645.8801064008876,111720.01885147774,True
LXSSA,linear,1,750,8,23,873.6715467898757,111492.22741108875,True
LXSSA,linear,1,750,8,24,1041.4886453063082,111324.41031257232,True
LXSSA,linear,1,750,8,25,1013.7834158115147,111352.11554206711,True
LXSSA,linear,1,750,8,26,699.2203773487709,111666.67858052986,True
LXSSA,linear,1,750,8,27,980.1138306433713,111385.78512723526,True
LXSSA,linear,1,750,8,28,1195.2444263024227,111170.6545315762,True
LXSSA,linear,1,750,8,29,647.0214459487906,111718.87751192984,True
LXSSA,linear,1,750,8,30,1305.315186122898,111060.58377175573,True
LXSSA,linear,1,1000,8,1,522.2101073925733,111843.68885048605,True
LXSSA,linear,1,1000,8,2,385.85100349196,111980.04795438667,True
LXSSA,linear,1,1000,8,3,365.26487225566234,112000.63408562297,True
LXSSA,linear,1,1000,8,4,651.7975769910263,111714.1013808876,True
LXSSA,linear,1,1000,8,5,495.22024627965584,111870.67871159897,True
LXSSA,linear,1,1000,8,6,328.3865586296597,112037.51239924897,True
LXSSA,linear,1,1000,8,7,633.3526323124097,111732.54632556622,True
LXSSA,linear,1,1000,8,8,333.1193285690533,112032.77962930957,True
LXSSA,linear,1,1000,8,9,473.06420404261735,111892.83475383601,True
LXSSA,linear,1,1000,8,10,719.229546133487,111646.66941174514,True
LXSSA,linear,1,1000,8,11,295.3948684589268,112070.5040894197,True
LXSSA,linear,1,1000,8,12,342.8558303073369,112023.04312757129,True
LXSSA,linear,1,1000,8,13,397.27505610235676,111968.62390177627,True
LXSSA,linear,1,1000,8,14,408.31267760155606,111957.58628027707,True
LXSSA,linear,1,1000,8,15,738.5992323065148,111627.29972557211,True
LXSSA,linear,1,1000,8,16,428.8467025674472,111937.05225531118,True
LXSSA,linear,1,1000,8,17,519.6271702437225,111846.2717876349,True
LXSSA,linear,1,1000,8,18,499.3628354739194,111866.53612240471,True
LXSSA,linear,1,1000,8,19,785.4040672909177,111580.49489058771,True
LXSSA,linear,1,1000,8,20,442.7399377351976,111923.15902014343,True
LXSSA,linear,1,1000,8,21,567.1961085095973,111798.70284936903,True
LXSSA,linear,1,1000,8,22,598.3335974076472,111767.56536047098,True
LXSSA,linear,1,1000,8,23,324.9599816689297,112040.9389762097,True
LXSSA,linear,1,1000,8,24,346.78015559171035,112019.11880228692,True
LXSSA,linear,1,1000,8,25,418.7258495704009,111947.17310830823,True
LXSSA,linear,1,1000,8,26,248.4571102382033,112117.44184764042,True
LXSSA,linear,1,1000,8,27,655.635789605105,111710.26316827352,True
LXSSA,linear,1,1000,8,28,524.0569357595232,111841.8420221191,True
LXSSA,linear,1,1000,8,29,333.1919842084608,112032.70697367017,True
LXSSA,linear,1,1000,8,30,293.7366888745164,112072.16226900411,True
LXSSA,linear,2,500,4,1,319.64487036120045,28941.86870837746,True
LXSSA,linear,2,500,4,2,260.74613195657,29000.76744678209,True
LXSSA,linear,2,500,4,3,333.8903248813622,28927.6232538573,True
LXSSA,linear,2,500,4,4,390.35699012090845,28871.156588617752,True
LXSSA,linear,2,500,4,5,227.7188281357303,29033.79475060293,True
LXSSA,linear,2,500,4,6,235.24245192655872,29026.271126812102,True
LXSSA,linear,2,500,4,7,398.7841953723364,28862.729383366324,True
LXSSA,linear,2,500,4,8,159.51933555316646,29101.994243185494,True
LXSSA,linear,2,500,4,9,245.6462127159466,29015.867366022714,True
LXSSA,linear,2,500,4,10,205.30421874179956,29056.20935999686,True
LXSSA,linear,2,500,4,11,252.81100010003138,29008.70257863863,True
LXSSA,linear,2,500,4,12,249.02865705471413,29012.484921683947,True
LXSSA,linear,2,500,4,13,219.19094326578124,29042.32263547288,True
LXSSA,linear,2,500,4,14,217.92363551116796,29043.589943227493,True
LXSSA,linear,2,500,4,15,250.47968310512442,29011.033895633536,True
LXSSA,linear,2,500,4,16,263.65001610172476,28997.863562636936,True
LXSSA,linear,2,500,4,17,213.55412145813534,29047.959457280525,True
LXSSA,linear,2,500,4,18,134.0398300841116,29127.47374865455,True
LXSSA,linear,2,500,4,19,219.66657774240593,29041.847000996255,True
LXSSA,linear,2,500,4,20,293.04518744624875,28968.468391292412,True
LXSSA,linear,2,500,4,21,204.47938766132938,29057.03419107733,True
LXSSA,linear,2,500,4,22,141.82443447595506,29119.689144262706,True
LXSSA,linear,2,500,4,23,139.76063750095636,29121.752941237704,True
LXSSA,linear,2,500,4,24,191.32047775491083,29070.19310098375,True
LXSSA,linear,2,500,4,25,180.3726011067447,29081.140977631916,True
LXSSA,linear,2,500,4,26,250.14025111393858,29011.373327624722,True
LXSSA,linear,2,500,4,27,253.97102748154066,29007.54255125712,True
LXSSA,linear,2,500,4,28,273.5530180492751,28987.960560689386,True
LXSSA,linear,2,500,4,29,379.5798706657188,28881.933708072942,True
LXSSA,linear,2,500,4,30,246.97741994640455,29014.536158792256,True
LXSSA,linear,2,750,8,1,1755.2081488518088,56767.81900862551,True
LXSSA,linear,2,750,8,2,1562.0828964962056,56960.944260981116,True
LXSSA,linear,2,750,8,3,1421.1665378372272,57101.860619640094,True
LXSSA,linear,2,750,8,4,1910.7812662768047,56612.24589120052,True
LXSSA,linear,2,750,8,5,1984.9862086546927,56538.04094882263,True
LXSSA,linear,2,750,8,6,2027.593187106635,56495.43397037069,True
LXSSA,linear,2,750,8,7,1853.2502380744045,56669.77691940292,True
LXSSA,linear,2,750,8,8,1854.1645259007273,56668.862631576594,True
LXSSA,linear,2,750,8,9,2198.7336594555672,56324.293498021754,True
LXSSA,linear,2,750,8,10,1814.6644203669202,56708.3627371104,True
LXSSA,linear,2,750,8,11,1959.6030250151452,56563.424132462176,True
LXSSA,linear,2,750,8,12,1804.3832641753106,56718.64389330201,True
LXSSA,linear,2,750,8,13,1832.099776719704,56690.92738075762,True
LXSSA,linear,2,750,8,14,1859.2562413439591,56663.77091613336,True
LXSSA,linear,2,750,8,15,2156.980295578789,56366.04686189853,True
LXSSA,linear,2,750,8,16,1630.4061243781907,56892.62103309913,True
LXSSA,linear,2,750,8,17,1753.3649833493546,56769.66217412797,True
LXSSA,linear,2,750,8,18,1501.8605022569682,57021.16665522035,True
LXSSA,linear,2,750,8,19,1492.6415765175188,57030.3855809598,True
LXSSA,linear,2,750,8,20,1716.3386648303276,56806.688492646994,True
LXSSA,linear,2,750,8,21,1971.6209235395581,56551.40623393776,True
LXSSA,linear,2,750,8,22,2039.7395191779942,56483.28763829933,True
LXSSA,linear,2,750,8,23,1485.5797464966454,57037.447410980676,True
LXSSA,linear,2,750,8,24,1790.7570946103224,56732.270062867,True
LXSSA,linear,2,750,8,25,1637.990244826302,56885.03691265102,True
LXSSA,linear,2,750,8,26,1797.4973697086243,56725.5297877687,True
LXSSA,linear,2,750,8,27,1635.0366115479264,56887.990545929395,True
LXSSA,linear,2,750,8,28,2274.247658190696,56248.779499286626,True
LXSSA,linear,2,750,8,29,1482.712043105188,57040.31511437213,True
LXSSA,linear,2,750,8,30,2194.488317678428,56328.53883979889,True
LXSSA,linear,2,1000,8,1,658.1378046801983,57864.88935279712,True
LXSSA,linear,2,1000,8,2,1335.069655646781,57187.95750183054,True
LXSSA,linear,2,1000,8,3,1046.8783313906315,57476.14882608669,True
LXSSA,linear,2,1000,8,4,1150.1094152851147,57372.91774219221,True
LXSSA,linear,2,1000,8,5,1005.6252975450625,57517.40185993226,True
LXSSA,linear,2,1000,8,6,737.9889101537628,57785.03824732356,True
LXSSA,linear,2,1000,8,7,1114.0851462002029,57408.94201127712,True
LXSSA,linear,2,1000,8,8,996.3755846267595,57526.65157285056,True
LXSSA,linear,2,1000,8,9,900.8421149664282,57622.18504251089,True
LXSSA,linear,2,1000,8,10,779.0668156059837,57743.96034187134,True
LXSSA,linear,2,1000,8,11,916.6194544109603,57606.40770306636,True
LXSSA,linear,2,1000,8,12,1166.39832323257,57356.62883424475,True
LXSSA,linear,2,1000,8,13,1258.9884130909559,57264.038744386366,True
LXSSA,linear,2,1000,8,14,1042.3126206556626,57480.71453682166,True
LXSSA,linear,2,1000,8,15,1327.7010214575857,57195.326136019736,True
LXSSA,linear,2,1000,8,16,869.0037599722054,57654.023397505116,True
LXSSA,linear,2,1000,8,17,1072.7300050160266,57450.297152461295,True
LXSSA,linear,2,1000,8,18,712.924045647902,57810.10311182942,True
LXSSA,linear,2,1000,8,19,873.7302500618171,57649.296907415504,True
