Experiment,Algorithm,Budget,Calls,Turbines,Seed,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates
hr16,LXSSA,6030,6030,16,13,138.16411945682987,149.2632720953485,True,322.19050800984826,5.848837387000003,511.35 -214.21;594.18 -811.22;515.13 789.93;-735.88 -804.35;-767.80 822.32;126.42 543.62;860.90 -184.50;-77.43 -98.25;786.84 272.51;-54.45 -708.74;-451.74 -433.54;-695.72 -190.18;314.37 80.20;-764.59 474.96;-627.17 183.55;-249.17 368.40
hr16,LXSSA,6030,6030,16,14,136.9810108188446,149.2632720953485,True,321.5802612364214,5.9965194330002305,-708.87 -583.66;-334.01 -247.26;722.84 -170.76;196.70 158.40;375.39 -201.34;-178.17 -645.86;893.20 -624.46;577.47 -834.80;158.46 -617.80;-400.98 185.06;72.96 494.11;-713.74 691.80;-713.41 -190.25;90.19 815.22;491.09 -507.63;420.32 785.58
hr16,LXSSA,6030,6030,16,15,135.52343808359987,149.2632720953485,True,322.88201146978093,5.938987338000061,-80.42 -760.02;513.50 -320.21;-635.63 187.72;-330.02 821.33;532.90 132.53;-409.07 439.44;-934.90 834.79;-656.91 646.39;36.00 788.21;-101.41 -5.52;-646.08 -521.54;265.89 -95.53;830.52 -12.97;343.69 -600.28;-410.61 -116.54;-884.12 394.07
hr16,LXSSA,6030,6030,16,16,134.6981806704949,149.2632720953485,True,323.33363952145686,5.99912894299996,520.82 830.81;-433.12 -134.22;-231.46 524.81;405.58 388.29;11.65 -200.13;-577.61 459.01;611.47 -413.70;186.36 706.27;281.81 -377.78;-458.12 -475.67;-183.26 86.73;439.87 -710.34;793.39 323.61;234.31 89.70;-760.49 -653.77;529.38 -45.16
hr16,LXSSA,6030,6030,16,17,137.13763724797494,149.2632720953485,True,320.07439368989077,5.983076983000046,339.39 340.66;666.86 -311.44;910.23 -587.24;-322.87 -298.75;-150.06 237.53;-877.26 682.45;-675.36 -475.25;670.03 602.21;600.89 -669.44;-109.47 -773.53;-597.07 112.61;78.18 -441.21;-480.19 790.14;319.16 -827.45;416.29 832.71;243.88 32.68
hr16,LXSSA,6030,6030,16,18,136.41567886039846,149.2632720953485,True,324.1128663312527,6.049454919999789,658.03 445.72;883.38 -394.82;238.84 -502.60;353.57 307.95;-305.63 -619.28;47.79 168.13;-820.87 711.17;-45.39 497.92;437.98 -767.31;-692.28 -505.00;198.02 805.70;-364.89 354.84;53.10 -792.26;-353.51 -67.14;-452.51 710.73;-135.38 809.29
hr16,LXSSA,6030,6030,16,19,137.10148598612525,149.2632720953485,True,325.81382697359334,5.934733586999755,-681.42 106.21;-543.76 821.59;414.06 -624.91;243.46 434.37;-273.27 -795.32;-832.95 430.95;-743.98 -243.47;245.66 -28.04;-345.03 499.08;-75.00 -510.70;564.19 -211.41;-711.53 -790.14;677.02 150.77;-533.76 -492.40;-234.00 -174.93;481.54 782.39
hr16,LXSSA,6030,6030,16,20,134.82345866720803,149.2632720953485,True,320.85589945148735,6.067402062999918,431.45 287.93;-127.20 -142.69;-321.96 113.78;739.91 199.61;-126.08 834.56;-317.32 -430.24;-766.17 -370.61;632.47 -409.53;541.28 -87.11;-253.16 427.38;-531.36 598.24;-429.13 -731.59;485.08 673.47;96.05 448.31;380.07 -775.34;50.77 -411.84
hr16,LXSSA,6030,6030,16,21,137.48424793586543,149.2632720953485,True,345.4410009458909,5.64550182999983,-853.06 423.08;191.06 -287.73;-30.86 244.11;-492.74 -786.55;717.86 336.61;536.53 -744.44;-422.16 -53.75;-810.16 -28.08;342.73 170.95;-144.28 -762.86;-805.64 816.66;-549.22 -445.75;737.71 -463.14;-490.45 586.75;431.53 541.62;-92.22 748.12
hr16,LXSSA,6030,6030,16,22,136.9598189079819,149.2632720953485,True,321.17728477050144,5.9868832370002565,-870.59 257.00;-765.32 -614.50;772.17 -496.13;803.05 -172.43;884.56 -797.48;429.84 464.78;-261.70 -390.92;253.54 194.98;-575.93 -324.47;134.71 669.07;-439.54 -662.09;194.11 -591.72;659.85 698.79;386.34 -305.51;-684.52 818.31;-786.01 -68.86
