Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,750,8,11,111962.87077031833,403.0281875602959,0.0,True,0.7257046060000221,-676.3150 -151.2334;-468.0136 362.4810;360.3225 518.6223;-111.1791 422.6330;-114.1895 -717.6418;639.8066 272.2550;84.6094 -298.1521;386.1475 -633.2423
4D,False,100,3030,1,750,8,12,111991.32691951029,374.5720383683365,0.0,True,0.6381874940000216,420.3624 -179.3064;155.5673 -713.0783;-521.4062 539.1020;-218.6868 -545.0909;-206.8581 601.7209;598.6792 451.7557;160.3658 678.7959;-726.5326 -186.1444
4D,False,100,3030,1,750,8,13,111717.22154230968,648.6774155689491,0.0,True,0.6493535479999082,530.5606 -374.9549;-353.5140 -500.7775;122.2434 -612.9451;-746.6405 -44.4259;345.2526 33.9734;-601.0284 445.2238;-196.4439 511.8415;702.7729 261.9194
4D,False,100,3030,1,750,8,14,111901.73796580856,464.1609920700721,0.0,True,0.6456839229999787,610.3840 -354.3704;230.8619 205.5588;-746.3986 73.3646;-491.8608 -556.4429;748.8065 42.2741;-16.0731 714.4254;1.5213 -705.3474;-376.5610 -238.7093
4D,False,100,3030,1,750,8,15,111793.64584433689,572.2531135417375,0.0,True,0.6696824429999424,92.0723 743.1432;-567.8102 -458.9263;-556.6687 502.6131;77.5072 -340.9811;-343.5329 258.5855;746.3646 46.2631;-51.2903 -748.2441;-730.8452 -98.6946
4D,False,100,3030,1,750,8,16,111874.29679351335,491.60216436527844,0.0,True,0.6348275999999942,176.6715 -104.2518;657.2005 -83.6223;383.6284 536.8683;374.9153 -524.5510;-12.9230 569.5809;-232.2179 145.5781;-438.6658 550.9879;-418.9507 -546.9156
4D,False,100,3030,1,750,8,17,111846.70993570564,519.1890221729846,0.0,True,0.6421656300000222,-188.5609 304.6613;626.9719 309.6921;-651.9706 357.8920;738.3632 -28.6797;88.4638 -734.9440;412.1436 626.3507;91.1466 741.7469;-435.0278 610.9390
4D,False,100,3030,1,750,8,18,111483.66028139518,882.2386764834519,0.0,True,0.6418165610000415,-67.1697 232.4463;-638.1234 29.7413;-377.4985 -348.7104;-60.6040 -702.3610;388.1625 622.2830;741.5123 10.5149;-254.8925 702.9531;177.4459 -162.3083
4D,False,100,3030,1,750,8,19,111666.25906974197,699.6398881366622,0.0,True,0.653123316999995,-221.4841 716.5505;-119.4227 424.5717;455.8277 28.3840;184.4021 -702.1697;-660.7414 97.2909;291.0524 404.6876;620.1108 -420.8656;-442.4740 402.0166
4D,False,100,3030,1,750,8,20,111506.05353038762,859.8454274910036,0.0,True,0.6619365679999873,23.0070 -706.8684;-216.2280 -92.7153;-425.5578 -607.8508;271.1773 288.4514;710.9510 238.8481;-447.8734 556.8286;213.1260 -259.2082;507.0339 552.6451
