Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
DE,1,500,2,6,6030,28091.474739469657,28091.474739469657,0.0,True,783.3268850412247,2.0020080969999867,28091.474739469657,23212.67310384682,22101.617458366913,28085.576198060615,23212.67310384682,22101.617458366913
DE,1,500,2,7,6030,28091.474739469657,28091.474739469657,0.0,True,851.7556722495484,2.067613025000014,28091.474739469657,23212.67310384682,22101.617458366913,28087.252742857137,23212.67310384682,22101.617458366913
DE,1,500,2,8,6030,28091.474739469657,28091.474739469657,0.0,True,727.2670468996877,1.9601572820000115,28091.474739469657,23212.67310384682,22101.617458366913,28086.656848250994,23212.67310384682,22101.617458366913
DE,1,500,2,9,6030,28091.474739469657,28091.474739469657,0.0,True,926.2459527545544,2.126070404000018,28091.474739469657,23212.67310384682,22101.617458366913,28086.598351596185,23212.67310384682,22101.617458366913
DE,1,500,2,10,6030,28091.474739469657,28091.474739469657,0.0,True,903.849850558828,1.996678030999988,28091.474739469657,23212.67310384682,22101.617458366913,28087.644790942457,23212.67310384682,22101.617458366913
DE,1,500,2,11,6030,28091.474739469657,28091.474739469657,0.0,True,694.5450540779535,2.1417985440000398,28091.474739469657,23212.67310384682,22101.617458366913,28080.495148239683,23212.67310384682,22101.617458366913
DE,1,500,2,12,6030,28091.474739469657,28091.474739469657,0.0,True,741.824162811674,1.996066221999968,28091.474739469657,23212.67310384682,22101.617458366913,28042.456445633823,23212.67310384682,22101.617458366913
DE,1,500,2,13,6030,28091.474739469657,28091.474739469657,0.0,True,850.3601231237121,2.047239908999984,28091.474739469657,23212.67310384682,22101.617458366913,28088.431971903377,23212.67310384682,22101.617458366913
DE,1,500,2,14,6030,28091.474739469657,28091.474739469657,0.0,True,730.1744633528833,2.006824052000013,28091.474739469657,23212.67310384682,22101.617458366913,27904.63248420514,23212.67310384682,22101.617458366913
DE,1,500,2,15,6030,28091.474739469657,28091.474739469657,0.0,True,880.6539344186543,2.025790796000024,28091.474739469657,23212.67310384682,22101.617458366913,28086.978189915055,23212.67310384682,22101.617458366913
