Radius,Turbines,Seed,Algorithm,WakeLoss,EnergyProduction,Runtime,RuntimeSingleRun,Evaluations,ObjectiveCalls,SurrogateInferences,SurrogateTrainPasses,Iterations,GateAdmissionRate,Dataset,Coordinates,Feasible308m
500,4,14,PSO,118.1629713047369,56064.78662869526,0.0094420726100603,,3030,3030,0,0,100,0,1,-367.9601873236966 -327.6341788877302;-162.90318185598628 339.59942924239925;318.9379422925176 367.67073002729416;33.30979948008125 -344.9019947024968,True
500,4,15,PSO,85.96791530746123,56096.98168469254,0.0094420726100603,,3030,3030,0,0,100,0,1,-183.9466190949861 -449.0449925689785;190.92672250288086 -378.2699834097316;-366.5653543795296 237.8438700451331;464.10983156532996 183.23345133071274,True
500,4,16,PSO,127.65616236809,56055.29343763191,0.0094420726100603,,3030,3030,0,0,100,0,1,77.81721158711935 -416.97662500824623;-342.95665332416377 226.19129174046702;75.78183123274086 310.13874869123856;464.0251759004556 31.922758601464352,True
500,4,17,PSO,88.15171026791359,56094.79788973209,0.0094420726100603,,3030,3030,0,0,100,0,1,485.5095956277618 7.246317156621352;-429.41472732101107 -232.14386031754503;-248.68314515560502 421.6941114906484;133.23212476694295 -247.93502692949292,True
500,4,18,PSO,112.0193945301362,56070.93020546986,0.0094420726100603,,3030,3030,0,0,100,0,1,-468.9723991500391 -64.33280044862133;-185.74363922823068 453.35438151595247;376.7327849317981 -291.09378507837107;-182.60526240255166 -374.5640582372838,True
500,4,19,PSO,127.5339408398868,56055.41565916011,0.0094420726100603,,3030,3030,0,0,100,0,1,-123.45145093820561 -320.2978855920528;-395.4812155838215 246.57108088459046;473.04345109456654 -110.9556495973405;260.04835280686643 346.6983594523754,True
500,4,20,PSO,103.5824969998721,56079.36710300013,0.0094420726100603,,3030,3030,0,0,100,0,1,201.8588213182249 -295.7437162584627;-405.1030736183628 -289.339807981277;-185.51970286449614 381.2169379559226;443.8469637716208 193.5591788500762,True
500,4,21,PSO,110.4677177197518,56072.48188228025,0.0094420726100603,,3030,3030,0,0,100,0,1,-108.09714889400153 -466.2157989308222;270.1634407643404 372.9977369202058;-453.0179342959637 -39.180840399163515;-118.82194836360001 414.16997326369506,True
500,4,22,PSO,110.4966934757322,56072.45290652427,0.0094420726100603,,3030,3030,0,0,100,0,1,470.56997922564807 -49.88861118667724;105.06791804938452 434.4666709297911;-373.4412803698032 328.29660821156364;-138.85147662775023 -401.222254213981,True
500,4,23,PSO,134.0618605111813,56048.88773948882,0.0094420726100603,,3030,3030,0,0,100,0,1,459.5879990874059 50.8085711149636;-145.18306379024887 400.5958349229767;326.0352667631986 -307.8319810575969;-451.4225829296701 -80.2970683038952,True
500,4,24,PSO,100.2126331813706,56082.73696681863,0.0094420726100603,,3030,3030,0,0,100,0,1,464.6364234475995 39.984160676307134;-473.30597786581507 -145.87221599087445;-231.6963200027404 434.94843122030284;238.83122295772682 -397.20399703376046,True
500,4,25,PSO,112.6321324057135,56070.31746759429,0.0094420726100603,,3030,3030,0,0,100,0,1,466.44479954043453 -153.89990680801097;-426.346736243474 241.08852509235686;94.07052260211584 488.28802614971124;-236.47284405022063 -316.6827986402366,True
500,4,26,PSO,113.9679333888998,56068.9816666111,0.0094420726100603,,3030,3030,0,0,100,0,1,-208.8622649519868 -366.96256178122064;416.8099394561465 -262.4443647843963;-426.4700472484068 230.74942719714127;266.49519505892147 256.4286504721931,True
500,4,27,PSO,107.8940308519595,56075.05556914804,0.0094420726100603,,3030,3030,0,0,100,0,1,454.6281102369178 77.25152664462587;-85.06173602507293 -465.5090443744265;-340.4235269901788 228.00410345000253;163.6511016573529 466.61709217420656,True
500,4,28,PSO,109.9510729656977,56072.9985270343,0.0094420726100603,,3030,3030,0,0,100,0,1,-162.38360029594458 441.4780383803157;392.5650371514589 126.3342306254821;-385.8346362591181 -313.82168246221147;26.363417572519328 -267.96758124618225,True
