Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
SSA,count,2,750,8,26,1845.1280996075075,56677.899057869814,True
SSA,count,2,750,8,27,1422.7283437713559,57100.298813705966,True
SSA,count,2,750,8,28,1351.4034652225018,57171.62369225482,True
SSA,count,2,750,8,29,1518.9719683290677,57004.055189148254,True
SSA,count,2,750,8,30,2298.5692172256895,56224.45794025163,True
SSA,count,2,1000,8,1,1059.2359366247474,57463.791220852574,True
SSA,count,2,1000,8,2,940.5307474152796,57582.49641006204,True
SSA,count,2,1000,8,3,602.7941637340409,57920.23299374328,True
SSA,count,2,1000,8,4,711.0945050069058,57811.932652470416,True
SSA,count,2,1000,8,5,616.1126712523255,57906.914486224996,True
SSA,count,2,1000,8,6,948.4096765766153,57574.617480900706,True
SSA,count,2,1000,8,7,1051.9422102097524,57471.08494726757,True
SSA,count,2,1000,8,8,903.1276619540731,57619.89949552325,True
SSA,count,2,1000,8,9,1424.7997326879995,57098.22742478932,True
SSA,count,2,1000,8,10,1308.5863310980712,57214.44082637925,True
SSA,count,2,1000,8,11,993.8776619711934,57529.14949550613,True
SSA,count,2,1000,8,12,802.8298240022414,57720.19733347508,True
SSA,count,2,1000,8,13,1589.056079439586,56933.971078037735,True
SSA,count,2,1000,8,14,1339.4475781896908,57183.57957928763,True
SSA,count,2,1000,8,15,1050.4161401968377,57472.611017280484,True
SSA,count,2,1000,8,16,915.8846658189432,57607.14249165838,True
SSA,count,2,1000,8,17,1056.0984648050435,57466.92869267228,True
SSA,count,2,1000,8,18,543.9356871580094,57979.09147031931,True
SSA,count,2,1000,8,19,880.7276835598022,57642.29947391752,True
SSA,count,2,1000,8,20,816.9114215177397,57706.11573595958,True
SSA,count,2,1000,8,21,666.1552029478553,57856.871954529466,True
SSA,count,2,1000,8,22,1561.013269622621,56962.0138878547,True
SSA,count,2,1000,8,23,900.0456777195723,57622.98147975775,True
SSA,count,2,1000,8,24,1051.354094992479,57471.67306248484,True
SSA,count,2,1000,8,25,674.4067227559935,57848.62043472133,True
SSA,count,2,1000,8,26,1142.8601095531048,57380.16704792422,True
SSA,count,2,1000,8,27,545.6911738588533,57977.33598361847,True
SSA,count,2,1000,8,28,862.9088002270946,57660.11835725023,True
SSA,count,2,1000,8,29,882.3789090520149,57640.64824842531,True
SSA,count,2,1000,8,30,902.6879464635276,57620.339211013794,True
SSA,linear,1,500,4,1,94.58932095164346,56088.36015798767,True
SSA,linear,1,500,4,2,132.64827656187845,56050.301202377435,True
SSA,linear,1,500,4,3,110.92817078416556,56072.02130815515,True
SSA,linear,1,500,4,4,87.81012742326129,56095.13935151605,True
SSA,linear,1,500,4,5,98.32123440360738,56084.62824453571,True
SSA,linear,1,500,4,6,117.60906971152144,56065.34040922779,True
SSA,linear,1,500,4,7,131.45494342232269,56051.49453551699,True
SSA,linear,1,500,4,8,107.3585341646176,56075.590944774696,True
SSA,linear,1,500,4,9,146.97471813859738,56035.97476080072,True
SSA,linear,1,500,4,10,155.47468462329562,56027.47479431602,True
SSA,linear,1,500,4,11,100.38504609184747,56082.56443284747,True
SSA,linear,1,500,4,12,98.82890557068458,56084.12057336863,True
SSA,linear,1,500,4,13,179.43260024737538,56003.51687869194,True
SSA,linear,1,500,4,14,107.42183827781992,56075.527640661494,True
SSA,linear,1,500,4,15,88.81182716243347,56094.13765177688,True
SSA,linear,1,500,4,16,95.08449996279523,56087.86497897652,True
SSA,linear,1,500,4,17,149.21527023352974,56033.734208705784,True
SSA,linear,1,500,4,18,145.05779216456722,56037.89168677475,True
SSA,linear,1,500,4,19,146.868893816114,56036.0805851232,True
SSA,linear,1,500,4,20,108.8642275825332,56074.08525135678,True
SSA,linear,1,500,4,21,132.6074092617855,56050.34206967753,True
SSA,linear,1,500,4,22,104.8748827973759,56078.07459614194,True
SSA,linear,1,500,4,23,133.1937158465953,56049.75576309272,True
SSA,linear,1,500,4,24,108.65739447657688,56074.29208446274,True
SSA,linear,1,500,4,25,147.0289667847319,56035.92051215458,True
SSA,linear,1,500,4,26,111.1992354722388,56071.750243467075,True
SSA,linear,1,500,4,27,107.8131506734353,56075.13632826588,True
SSA,linear,1,500,4,28,108.22772934987006,56074.721749589444,True
SSA,linear,1,500,4,29,105.90030976899288,56077.04916917032,True
SSA,linear,1,500,4,30,175.88196150598378,56007.06751743333,True
SSA,linear,1,750,8,1,1849.5501477033977,110516.34881017523,True
SSA,linear,1,750,8,2,560.2988151217141,111805.60014275691,True
SSA,linear,1,750,8,3,1062.428684134633,111303.470273744,True
SSA,linear,1,750,8,4,787.0007223403663,111578.89823553826,True
SSA,linear,1,750,8,5,778.2826276748965,111587.61633020373,True
SSA,linear,1,750,8,6,1197.2769899499544,111168.62196792867,True
SSA,linear,1,750,8,7,672.4207995546167,111693.47815832401,True
SSA,linear,1,750,8,8,940.4662868601736,111425.43267101845,True
SSA,linear,1,750,8,9,712.2409686714527,111653.65798920717,True
